Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
59287 2016 1 8 12 1012.5000 1021.1000 6.0000 1.9000 14.2000 82.0000 0.0000 
59287 2016 1 8 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 15 1013.2000 1021.8000 10.0000 2.7000 13.5000 82.0000 0.0000 
59287 2016 1 8 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 18 1012.9000 1021.5000 21.0000 1.7000 13.8000 79.0000 0.0000 
59287 2016 1 8 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 21 1012.3000 1020.9000 356.0000 1.3000 12.7000 84.0000 0.0000 
59287 2016 1 8 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 0 1013.5000 1022.2000 132.0000 1.5000 13.6000 81.0000 0.0000 
59287 2016 1 9 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 3 1014.1000 1022.7000 98.0000 2.4000 15.7000 69.0000 0.0000 
59287 2016 1 9 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 6 1011.3000 1019.9000 101.0000 2.0000 18.0000 67.0000 0.0000 
59287 2016 1 9 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 9 1010.6000 1019.2000 105.0000 2.1000 17.8000 69.0000 0.0000 
59287 2016 1 9 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 12 1011.7000 1020.3000 171.0000 1.2000 16.1000 78.0000 0.0000 
59287 2016 1 9 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 15 1012.3000 1020.9000 70.0000 2.0000 16.1000 78.0000 0.0000 
59287 2016 1 9 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 18 1011.5000 1020.1000 64.0000 1.6000 15.8000 77.0000 0.0000 
